"scenario","days","rep","iter","n_reports","n_factors","converged","hypothesis","sign","truth","est","lo","hi","p_positive"
"effects",365,1,1000,888,23,FALSE,"H1",1,0.3582,0.2902,0.1274,0.4465,1
"effects",365,1,1000,888,23,FALSE,"H2",1,0.2829,0.226,0.0646,0.3947,0.9965
"effects",365,1,1000,888,23,FALSE,"H3a",-1,-0.1878,-0.0101,-0.1835,0.1668,0.45275
"effects",365,1,1000,888,23,FALSE,"H3b",-1,-0.203,-0.1799,-0.356,-0.0128,0.01875
"effects",365,1,1000,888,23,FALSE,"H4",1,0.289,0.2612,0.0809,0.4435,0.99625
"effects",365,1,1000,888,23,FALSE,"null:sleep_efficiency",1,0,-0.0014,-0.0748,0.0483,0.44425
"effects",365,1,1000,888,23,FALSE,"null:hrv_ms",1,0,0.001,-0.0527,0.066,0.547
"effects",365,1,1000,888,23,FALSE,"null:resting_hr",1,0,-6e-04,-0.0647,0.0567,0.468
"effects",365,1,1000,888,23,FALSE,"null:skin_temp_dev_c",1,0,-0.0016,-0.0706,0.0515,0.4405
"effects",365,1,1000,888,23,FALSE,"null:exercise_min",1,0,0,-0.061,0.0589,0.50125
"effects",365,1,1000,888,23,FALSE,"null:outdoor_min",1,0,0.0026,-0.0457,0.0799,0.59975
"effects",365,1,1000,888,23,FALSE,"null:caffeine_mg",1,0,0.002,-0.0449,0.074,0.57825
"effects",365,1,1000,888,23,FALSE,"null:alcohol_units",1,0,-0.0031,-0.0873,0.0433,0.39425
"effects",365,1,1000,888,23,FALSE,"null:work_day",1,0,-0.0012,-0.0835,0.0528,0.4535
"effects",365,1,1000,888,23,FALSE,"null:travel",1,0,0.0047,-0.0378,0.0987,0.63525
"effects",365,1,1000,888,23,FALSE,"null:sick",1,0,-6e-04,-0.0639,0.058,0.46875
"effects",365,1,1000,888,23,FALSE,"null:temp_mean_c",1,0,-0.0011,-0.0693,0.0522,0.45475
"effects",365,1,1000,888,23,FALSE,"null:precipitation_mm",1,0,0.0026,-0.0417,0.0729,0.5935
"effects",365,1,1000,888,23,FALSE,"null:sunshine_hours",1,0,0.0027,-0.0438,0.0792,0.59675
"effects",365,1,1000,888,23,FALSE,"null:daylight_hours",1,0,-0.0025,-0.0831,0.042,0.40575
"effects",365,1,1000,888,23,FALSE,"null:pm25",1,0,-2e-04,-0.0583,0.0543,0.49025
"effects",365,1,1000,888,23,FALSE,"null:indoor_pm25",1,0,-0.0012,-0.074,0.0467,0.4485
"effects",365,1,1000,888,23,FALSE,"null:indoor_voc",1,0,-0.0022,-0.0779,0.0482,0.417
"effects",365,1,1000,888,23,FALSE,"H5",1,0.5,0.2746,-0.3716,0.6262,0.84375
"effects",365,2,1000,869,23,FALSE,"H1",1,0.3531,0.2097,0.0508,0.3683,0.99425
"effects",365,2,1000,869,23,FALSE,"H2",1,0.2801,0.4632,0.2775,0.6499,1
"effects",365,2,1000,869,23,FALSE,"H3a",-1,-0.1939,-0.1296,-0.32,0.0529,0.08025
"effects",365,2,1000,869,23,FALSE,"H3b",-1,-0.2066,-0.2709,-0.4516,-0.0887,0.002
"effects",365,2,1000,869,23,FALSE,"H4",1,0.2817,0.3299,0.1464,0.5244,0.99975
"effects",365,2,1000,869,23,FALSE,"null:sleep_efficiency",1,0,-0.0022,-0.1001,0.0725,0.44125
"effects",365,2,1000,869,23,FALSE,"null:hrv_ms",1,0,-0.0063,-0.1065,0.0571,0.3685
"effects",365,2,1000,869,23,FALSE,"null:resting_hr",1,0,0.0139,-0.039,0.1387,0.705
"effects",365,2,1000,869,23,FALSE,"null:skin_temp_dev_c",1,0,-0.0084,-0.1239,0.0481,0.3445
"effects",365,2,1000,869,23,FALSE,"null:exercise_min",1,0,0.0023,-0.0755,0.1206,0.55725
"effects",365,2,1000,869,23,FALSE,"null:outdoor_min",1,0,-0.0032,-0.1117,0.0706,0.42925
"effects",365,2,1000,869,23,FALSE,"null:caffeine_mg",1,0,0.0101,-0.0435,0.1293,0.68625
"effects",365,2,1000,869,23,FALSE,"null:alcohol_units",1,0,-0.0034,-0.1125,0.0686,0.42125
"effects",365,2,1000,869,23,FALSE,"null:work_day",1,0,0.0027,-0.0775,0.1113,0.5665
"effects",365,2,1000,869,23,FALSE,"null:travel",1,0,0.0035,-0.0683,0.1085,0.5805
"effects",365,2,1000,869,23,FALSE,"null:sick",1,0,-0.0273,-0.2027,0.0266,0.194
"effects",365,2,1000,869,23,FALSE,"null:temp_mean_c",1,0,0.0056,-0.0697,0.1141,0.61775
"effects",365,2,1000,869,23,FALSE,"null:precipitation_mm",1,0,-7e-04,-0.0852,0.0778,0.47725
"effects",365,2,1000,869,23,FALSE,"null:sunshine_hours",1,0,0,-0.0875,0.0807,0.50025
"effects",365,2,1000,869,23,FALSE,"null:daylight_hours",1,0,3e-04,-0.0847,0.0982,0.5135
"effects",365,2,1000,869,23,FALSE,"null:pm25",1,0,0.013,-0.0413,0.134,0.706
"effects",365,2,1000,869,23,FALSE,"null:indoor_pm25",1,0,5e-04,-0.0792,0.0952,0.51575
"effects",365,2,1000,869,23,FALSE,"null:indoor_voc",1,0,-0.0035,-0.1079,0.0701,0.42175
"effects",365,2,1000,869,23,FALSE,"H5",1,0.5,0.2142,-0.4254,0.6928,0.771
"effects",365,3,1000,883,23,TRUE,"H1",1,0.3764,0.4576,0.2907,0.6344,1
"effects",365,3,1000,883,23,TRUE,"H2",1,0.2842,0.345,0.1688,0.5296,1
"effects",365,3,1000,883,23,TRUE,"H3a",-1,-0.1933,-0.1188,-0.3008,0.0641,0.0995
"effects",365,3,1000,883,23,TRUE,"H3b",-1,-0.1888,-0.2082,-0.3838,-0.0286,0.01275
"effects",365,3,1000,883,23,TRUE,"H4",1,0.299,0.3629,0.169,0.5573,0.9995
"effects",365,3,1000,883,23,TRUE,"null:sleep_efficiency",1,0,-0.0101,-0.1237,0.0601,0.35275
"effects",365,3,1000,883,23,TRUE,"null:hrv_ms",1,0,0.0071,-0.0686,0.1219,0.61175
"effects",365,3,1000,883,23,TRUE,"null:resting_hr",1,0,0.0162,-0.0489,0.1374,0.72
"effects",365,3,1000,883,23,TRUE,"null:skin_temp_dev_c",1,0,0.0069,-0.073,0.1135,0.613
"effects",365,3,1000,883,23,TRUE,"null:exercise_min",1,0,-0.0092,-0.1379,0.0751,0.3685
"effects",365,3,1000,883,23,TRUE,"null:outdoor_min",1,0,1e-04,-0.0985,0.1116,0.502
"effects",365,3,1000,883,23,TRUE,"null:caffeine_mg",1,0,-0.0302,-0.1886,0.0327,0.20375
"effects",365,3,1000,883,23,TRUE,"null:alcohol_units",1,0,-0.0166,-0.1493,0.0523,0.302
"effects",365,3,1000,883,23,TRUE,"null:work_day",1,0,0.0146,-0.0567,0.1776,0.68625
"effects",365,3,1000,883,23,TRUE,"null:travel",1,0,-1e-04,-0.0946,0.0947,0.49725
"effects",365,3,1000,883,23,TRUE,"null:sick",1,0,0.0105,-0.0612,0.1275,0.653
