"scenario","days","rep","iter","n_reports","n_factors","converged","hypothesis","sign","truth","est","lo","hi","p_positive"
"effects",365,1,500,888,23,FALSE,"H1",1,0.3582,0.1419,0.0088,0.3055,0.9855
"effects",365,1,500,888,23,FALSE,"H2",1,0.2829,0.071,-0.0559,0.2272,0.8505
"effects",365,1,500,888,23,FALSE,"H3a",-1,-0.1409,0.035,-0.0889,0.1724,0.7035
"effects",365,1,500,888,23,FALSE,"H3b",-1,-0.203,-0.0938,-0.2511,0.0276,0.071
"effects",365,1,500,888,23,FALSE,"H4",1,0.289,0.1318,-0.0066,0.298,0.969
"effects",365,1,500,888,23,FALSE,"null:sleep_efficiency",1,0,0.013,-0.1097,0.1375,0.5915
"effects",365,1,500,888,23,FALSE,"null:hrv_ms",1,0,0.0054,-0.1159,0.1209,0.5335
"effects",365,1,500,888,23,FALSE,"null:resting_hr",1,0,-0.0301,-0.1548,0.0886,0.308
"effects",365,1,500,888,23,FALSE,"null:skin_temp_dev_c",1,0,-0.006,-0.1289,0.11,0.4415
"effects",365,1,500,888,23,FALSE,"null:exercise_min",1,0,0.0234,-0.1137,0.1599,0.6465
"effects",365,1,500,888,23,FALSE,"null:outdoor_min",1,0,0.0561,-0.0707,0.1952,0.8055
"effects",365,1,500,888,23,FALSE,"null:caffeine_mg",1,0,0.0493,-0.0656,0.1938,0.805
"effects",365,1,500,888,23,FALSE,"null:alcohol_units",1,0,-0.0402,-0.1864,0.0801,0.2635
"effects",365,1,500,888,23,FALSE,"null:work_day",1,0,-0.0284,-0.1758,0.1038,0.3345
"effects",365,1,500,888,23,FALSE,"null:travel",1,0,0.042,-0.073,0.1749,0.7515
"effects",365,1,500,888,23,FALSE,"null:sick",1,0,-0.0026,-0.1323,0.1137,0.4855
"effects",365,1,500,888,23,FALSE,"null:temp_mean_c",1,0,-0.0226,-0.1673,0.1121,0.361
"effects",365,1,500,888,23,FALSE,"null:precipitation_mm",1,0,0.0324,-0.0699,0.1432,0.7245
"effects",365,1,500,888,23,FALSE,"null:sunshine_hours",1,0,0.0501,-0.0598,0.1909,0.7995
"effects",365,1,500,888,23,FALSE,"null:daylight_hours",1,0,-0.0436,-0.2171,0.0984,0.271
"effects",365,1,500,888,23,FALSE,"null:pm25",1,0,-0.0054,-0.1213,0.1087,0.461
"effects",365,1,500,888,23,FALSE,"null:indoor_pm25",1,0,-0.0167,-0.1564,0.1052,0.3745
"effects",365,1,500,888,23,FALSE,"null:indoor_voc",1,0,-0.0316,-0.1645,0.0792,0.2775
"effects",365,1,500,888,23,FALSE,"H5",1,0.5,0.3878,0.0237,0.6494,0.9785
"effects",365,2,500,869,23,FALSE,"H1",1,0.3531,0.1698,0.0203,0.3194,0.9865
"effects",365,2,500,869,23,FALSE,"H2",1,0.2801,0.2849,0.0884,0.4976,0.9975
"effects",365,2,500,869,23,FALSE,"H3a",-1,-0.1454,-0.0527,-0.203,0.1046,0.2465
"effects",365,2,500,869,23,FALSE,"H3b",-1,-0.2066,-0.2446,-0.4205,-0.0778,0.0025
"effects",365,2,500,869,23,FALSE,"H4",1,0.2817,0.2279,0.0548,0.4044,0.995
"effects",365,2,500,869,23,FALSE,"null:sleep_efficiency",1,0,-0.0312,-0.1752,0.1106,0.3395
"effects",365,2,500,869,23,FALSE,"null:hrv_ms",1,0,0.0051,-0.1364,0.1428,0.5265
"effects",365,2,500,869,23,FALSE,"null:resting_hr",1,0,0.0604,-0.0836,0.2095,0.805
"effects",365,2,500,869,23,FALSE,"null:skin_temp_dev_c",1,0,-0.0745,-0.2123,0.0685,0.1575
"effects",365,2,500,869,23,FALSE,"null:exercise_min",1,0,0.1507,-0.0289,0.3349,0.9535
"effects",365,2,500,869,23,FALSE,"null:outdoor_min",1,0,0.0099,-0.1729,0.1779,0.543
