"scenario","days","rep","iter","n_reports","n_factors","converged","hypothesis","sign","truth","est","lo","hi","p_positive"
"null",365,1,500,874,23,FALSE,"H1",1,0,0.001,-0.0649,0.0664,0.536
"null",365,1,500,874,23,FALSE,"H2",1,0,0.0102,-0.0397,0.112,0.6985
"null",365,1,500,874,23,FALSE,"H3a",-1,0,0.0037,-0.0536,0.0992,0.611
"null",365,1,500,874,23,FALSE,"H3b",-1,0,-6e-04,-0.0805,0.0652,0.473
"null",365,1,500,874,23,FALSE,"H4",1,0,-0.0049,-0.109,0.0533,0.369
"null",365,1,500,874,23,FALSE,"null:sleep_efficiency",1,0,0.0051,-0.0499,0.0995,0.619
"null",365,1,500,874,23,FALSE,"null:hrv_ms",1,0,-0.01,-0.1084,0.039,0.3005
"null",365,1,500,874,23,FALSE,"null:resting_hr",1,0,-0.0043,-0.089,0.0523,0.3815
"null",365,1,500,874,23,FALSE,"null:skin_temp_dev_c",1,0,0.0044,-0.046,0.094,0.618
"null",365,1,500,874,23,FALSE,"null:exercise_min",1,0,0.01,-0.035,0.12,0.72
"null",365,1,500,874,23,FALSE,"null:outdoor_min",1,0,-7e-04,-0.0791,0.0672,0.4745
"null",365,1,500,874,23,FALSE,"null:caffeine_mg",1,0,0.0049,-0.0463,0.1032,0.611
"null",365,1,500,874,23,FALSE,"null:alcohol_units",1,0,-0.0029,-0.089,0.0566,0.4185
"null",365,1,500,874,23,FALSE,"null:work_day",1,0,0.0035,-0.0589,0.1017,0.596
"null",365,1,500,874,23,FALSE,"null:travel",1,0,0.0076,-0.0462,0.1105,0.662
"null",365,1,500,874,23,FALSE,"null:sick",1,0,-0.001,-0.0772,0.0639,0.4635
"null",365,1,500,874,23,FALSE,"null:temp_mean_c",1,0,8e-04,-0.0732,0.0686,0.5335
"null",365,1,500,874,23,FALSE,"null:precipitation_mm",1,0,0.0092,-0.0374,0.1051,0.67
"null",365,1,500,874,23,FALSE,"null:sunshine_hours",1,0,3e-04,-0.0677,0.0694,0.509
"null",365,1,500,874,23,FALSE,"null:daylight_hours",1,0,0.0015,-0.0607,0.0962,0.5485
"null",365,1,500,874,23,FALSE,"null:pm25",1,0,0.0022,-0.0557,0.0812,0.579
"null",365,1,500,874,23,FALSE,"null:indoor_pm25",1,0,-0.0067,-0.1098,0.0491,0.36
"null",365,1,500,874,23,FALSE,"null:indoor_voc",1,0,-0.005,-0.0924,0.0467,0.3735
"null",365,1,500,874,23,FALSE,"H5",1,0,0.0027,-0.5827,0.6188,0.5035
"null",365,2,500,865,23,FALSE,"H1",1,0,-8e-04,-0.0665,0.0488,0.4605
"null",365,2,500,865,23,FALSE,"H2",1,0,-2e-04,-0.0573,0.0517,0.485
"null",365,2,500,865,23,FALSE,"H3a",-1,0,0.0022,-0.0432,0.0666,0.5905
"null",365,2,500,865,23,FALSE,"H3b",-1,0,-0.0016,-0.0733,0.0407,0.431
"null",365,2,500,865,23,FALSE,"H4",1,0,-0.0011,-0.0684,0.0456,0.439
"null",365,2,500,865,23,FALSE,"null:sleep_efficiency",1,0,-0.0039,-0.0859,0.0337,0.361
"null",365,2,500,865,23,FALSE,"null:hrv_ms",1,0,6e-04,-0.0514,0.0572,0.542
"null",365,2,500,865,23,FALSE,"null:resting_hr",1,0,0.0017,-0.0407,0.0641,0.5665
"null",365,2,500,865,23,FALSE,"null:skin_temp_dev_c",1,0,-0.0015,-0.0639,0.0418,0.4375
"null",365,2,500,865,23,FALSE,"null:exercise_min",1,0,-0.0023,-0.0711,0.0444,0.408
"null",365,2,500,865,23,FALSE,"null:outdoor_min",1,0,-0.0014,-0.0666,0.0471,0.4305
"null",365,2,500,865,23,FALSE,"null:caffeine_mg",1,0,-0.0018,-0.0763,0.039,0.42
"null",365,2,500,865,23,FALSE,"null:alcohol_units",1,0,4e-04,-0.0499,0.0616,0.5185
"null",365,2,500,865,23,FALSE,"null:work_day",1,0,-1e-04,-0.0597,0.0539,0.494
"null",365,2,500,865,23,FALSE,"null:travel",1,0,-0.0012,-0.0727,0.043,0.4405
"null",365,2,500,865,23,FALSE,"null:sick",1,0,-0.0012,-0.0692,0.0441,0.43
"null",365,2,500,865,23,FALSE,"null:temp_mean_c",1,0,5e-04,-0.0513,0.0575,0.526
"null",365,2,500,865,23,FALSE,"null:precipitation_mm",1,0,-0.0035,-0.0795,0.0351,0.3805
"null",365,2,500,865,23,FALSE,"null:sunshine_hours",1,0,0.0052,-0.0313,0.0984,0.669
"null",365,2,500,865,23,FALSE,"null:daylight_hours",1,0,1e-04,-0.0557,0.0521,0.5055
"null",365,2,500,865,23,FALSE,"null:pm25",1,0,-0.0023,-0.0691,0.0388,0.414
"null",365,2,500,865,23,FALSE,"null:indoor_pm25",1,0,9e-04,-0.0483,0.0653,0.548
"null",365,2,500,865,23,FALSE,"null:indoor_voc",1,0,2e-04,-0.0559,0.0571,0.5155
"null",365,2,500,865,23,FALSE,"H5",1,0,-0.0138,-0.5906,0.5227,0.4845
"null",365,3,500,900,23,FALSE,"H1",1,0,-0.0041,-0.0898,0.0545,0.406
"null",365,3,500,900,23,FALSE,"H2",1,0,-7e-04,-0.0778,0.0821,0.467
"null",365,3,500,900,23,FALSE,"H3a",-1,0,-0.0131,-0.1289,0.039,0.2865
"null",365,3,500,900,23,FALSE,"H3b",-1,0,0.0042,-0.0566,0.0965,0.598
"null",365,3,500,900,23,FALSE,"H4",1,0,-0.0058,-0.1098,0.0585,0.3805
"null",365,3,500,900,23,FALSE,"null:sleep_efficiency",1,0,0.0068,-0.0471,0.0946,0.633
"null",365,3,500,900,23,FALSE,"null:hrv_ms",1,0,-0.0052,-0.0953,0.0546,0.3935
"null",365,3,500,900,23,FALSE,"null:resting_hr",1,0,0.0116,-0.0374,0.111,0.703
"null",365,3,500,900,23,FALSE,"null:skin_temp_dev_c",1,0,0.0098,-0.0411,0.1093,0.6755
"null",365,3,500,900,23,FALSE,"null:exercise_min",1,0,-0.0039,-0.0914,0.0569,0.406
"null",365,3,500,900,23,FALSE,"null:outdoor_min",1,0,0.0014,-0.0719,0.0839,0.5425
"null",365,3,500,900,23,FALSE,"null:caffeine_mg",1,0,0.0061,-0.0533,0.1023,0.6205
"null",365,3,500,900,23,FALSE,"null:alcohol_units",1,0,-1e-04,-0.0818,0.0696,0.496
"null",365,3,500,900,23,FALSE,"null:work_day",1,0,-0.0057,-0.1144,0.0609,0.386
"null",365,3,500,900,23,FALSE,"null:travel",1,0,0.008,-0.0443,0.1072,0.6685
"null",365,3,500,900,23,FALSE,"null:sick",1,0,0.0069,-0.0481,0.1061,0.6205
"null",365,3,500,900,23,FALSE,"null:temp_mean_c",1,0,3e-04,-0.0849,0.0756,0.507
"null",365,3,500,900,23,FALSE,"null:precipitation_mm",1,0,4e-04,-0.0694,0.068,0.516
"null",365,3,500,900,23,FALSE,"null:sunshine_hours",1,0,0.0104,-0.0539,0.1106,0.678
"null",365,3,500,900,23,FALSE,"null:daylight_hours",1,0,0.0067,-0.0589,0.0999,0.62
"null",365,3,500,900,23,FALSE,"null:pm25",1,0,-0.025,-0.1515,0.0247,0.181
"null",365,3,500,900,23,FALSE,"null:indoor_pm25",1,0,-0.019,-0.1407,0.0331,0.251
"null",365,3,500,900,23,FALSE,"null:indoor_voc",1,0,0.0057,-0.0483,0.1073,0.614
"null",365,3,500,900,23,FALSE,"H5",1,0,-0.019,-0.5785,0.6334,0.466
"null",365,4,500,877,23,FALSE,"H1",1,0,0.0024,-0.0448,0.0698,0.5955
"null",365,4,500,877,23,FALSE,"H2",1,0,-4e-04,-0.0662,0.0561,0.478
"null",365,4,500,877,23,FALSE,"H3a",-1,0,6e-04,-0.0606,0.0721,0.5245
"null",365,4,500,877,23,FALSE,"H3b",-1,0,0.003,-0.0437,0.0825,0.6225
"null",365,4,500,877,23,FALSE,"H4",1,0,0.001,-0.0544,0.0688,0.5515
"null",365,4,500,877,23,FALSE,"null:sleep_efficiency",1,0,0,-0.0595,0.0598,0.5005
"null",365,4,500,877,23,FALSE,"null:hrv_ms",1,0,0.0035,-0.0367,0.0914,0.6125
"null",365,4,500,877,23,FALSE,"null:resting_hr",1,0,5e-04,-0.0526,0.0647,0.528
"null",365,4,500,877,23,FALSE,"null:skin_temp_dev_c",1,0,-0.0037,-0.0844,0.0369,0.3695
"null",365,4,500,877,23,FALSE,"null:exercise_min",1,0,-0.0025,-0.0832,0.0434,0.399
"null",365,4,500,877,23,FALSE,"null:outdoor_min",1,0,-0.0013,-0.0693,0.0521,0.4345
"null",365,4,500,877,23,FALSE,"null:caffeine_mg",1,0,0.0014,-0.0472,0.0723,0.5765
"null",365,4,500,877,23,FALSE,"null:alcohol_units",1,0,9e-04,-0.0509,0.0736,0.5545
"null",365,4,500,877,23,FALSE,"null:work_day",1,0,0.0031,-0.0433,0.0953,0.606
"null",365,4,500,877,23,FALSE,"null:travel",1,0,-0.0018,-0.0773,0.0512,0.4255
"null",365,4,500,877,23,FALSE,"null:sick",1,0,0.0021,-0.046,0.0773,0.584
"null",365,4,500,877,23,FALSE,"null:temp_mean_c",1,0,0.0014,-0.049,0.0721,0.564
